INDEX,org_dataA, org_dataB 
351, 105, 106 
352, 105, 104 
353, 105, 106 
354, 107, 106 
355, 107, 105 
356, 106, 108 
357, 108, 108 
358, 107, 107 
359, 108, 108 
360, 108, 109 
361, 108, 108 
362, 109, 106 
363, 107, 105 
364, 105, 104 
365, 106, 106 
366, 106, 105 
367, 104, 104 
368, 104, 105 
369, 105, 106 
370, 107, 106 
371, 106, 105 
372, 106, 104 
373, 105, 102 
374, 103, 102 
375, 104, 102 
376, 104, 101 
377, 103, 102 
378, 102, 100 
379, 101, 102 
380, 102, 103 
381, 103, 103 
382, 101, 102 
383, 101, 101 
384, 102, 102 
385, 103, 99 
386, 100, 97 
387, 95, 98 
388, 99, 98 
389, 99, 100 
390, 99, 98 
391, 100, 99 
392, 101, 102 
393, 101, 103 
394, 104, 105 
395, 102, 102 
396, 103, 100 
397, 101, 96 
398, 99, 92 
399, 96, 91 
400, 93, 96 
401, 93, 95 
402, 90, 88 
403, 85, 81 
404, 83, 79 
405, 80, 76 
406, 79, 76 
407, 76, 76 
408, 77, 76 
409, 76, 77 
410, 78, 78 
411, 79, 80 
412, 81, 78 
413, 80, 80 
414, 81, 82 
415, 86, 80 
416, 84, 80 
417, 83, 79 
418, 81, 78 
419, 82, 78 
420, 81, 78 
421, 80, 77 
422, 81, 73 
423, 78, 71 
424, 75, 72 
425, 74, 72 
426, 72, 68 
427, 69, 62 
428, 64, 60 
429, 62, 59 
430, 59, 57 
431, 56, 56 
432, 56, 59 
433, 57, 58 
434, 57, 54 
435, 56, 54 
436, 53, 52 
437, 50, 50 
438, 51, 52 
439, 50, 52 
440, 50, 51 
441, 51, 48 
442, 49, 47 
443, 48, 48 
444, 48, 52 
445, 47, 51 
446, 47, 47 
447, 48, 47 
448, 46, 49 
449, 45, 51 
450, 50, 55 
451, 55, 62 
452, 59, 66 
453, 69, 80 
454, 91, 107 
455, 118, 126 
456, 131, 134 
457, 134, 139 
458, 135, 140 
459, 133, 141 
460, 134, 139 
461, 131, 131 
462, 123, 124 
463, 105, 112 
464, 83, 97 
465, 65, 79 
466, 50, 57 
467, 42, 48 
468, 36, 47 
469, 38, 47 
470, 40, 46 
471, 36, 37 
472, 33, 34 
473, 32, 35 
474, 32, 35 
475, 32, 33 
476, 32, 33 
477, 31, 33 
478, 30, 33 
479, 31, 34 
480, 33, 36 
481, 36, 35 
482, 36, 37 
483, 41, 36 
484, 38, 36 
485, 38, 34 
486, 38, 35 
487, 35, 33 
488, 36, 34 
489, 33, 33 
490, 36, 37 
491, 40, 52 
492, 49, 73 
493, 68, 84 
494, 87, 89 
495, 92, 90 
496, 90, 94 
497, 90, 100 
498, 86, 99 
499, 83, 94 
500, 75, 80 
501, 63, 68 
502, 56, 58 
503, 54, 56 
504, 57, 63 
505, 59, 57 
506, 56, 54 
507, 55, 53 
508, 52, 52 
509, 51, 50 
510, 49, 51 
512, 160, 162 
513, 160, 161 
514, 160, 158 
515, 159, 157 
516, 157, 153 
517, 156, 156 
518, 157, 157 
519, 157, 154 
520, 156, 155 
521, 157, 156 
522, 156, 157 
523, 154, 158 
524, 155, 156 
525, 157, 157 
526, 158, 158 
527, 158, 157 
528, 158, 158 
529, 158, 160 
530, 159, 159 
531, 160, 160 
532, 161, 161 
533, 162, 161 
534, 161, 160 
535, 162, 160 
536, 161, 160 
537, 160, 161 
538, 160, 164 
539, 161, 165 
540, 162, 168 
541, 165, 171 
542, 168, 172 
543, 170, 172 
544, 174, 171 
545, 175, 167 
546, 172, 164 
547, 170, 161 
548, 168, 159 
549, 164, 155 
550, 161, 149 
551, 156, 142 
552, 151, 134 
553, 147, 125 
554, 141, 111 
555, 130, 98 
556, 118, 89 
557, 106, 84 
558, 95, 85 
559, 85, 86 
560, 84, 88 
561, 86, 91 
562, 88, 92 
563, 89, 93 
564, 90, 93 
565, 90, 94 
566, 91, 93 
567, 91, 91 
568, 91, 90 
569, 91, 91 
570, 90, 90 
571, 89, 90 
572, 89, 92 
573, 90, 93 
574, 92, 93 
575, 93, 96 
576, 95, 97 
577, 96, 97 
578, 98, 100 
579, 99, 101 
580, 98, 102 
581, 101, 99 
582, 100, 99 
583, 99, 100 
584, 100, 102 
585, 100, 100 
586, 98, 99 
587, 97, 99 
588, 97, 98 
589, 100, 98 
590, 97, 99 
591, 96, 95 
592, 94, 95 
593, 96, 94 
594, 97, 95 
595, 99, 99 
596, 98, 99 
597, 97, 97 
598, 99, 99 
599, 98, 99 
600, 97, 99 
601, 99, 102 
602, 101, 104 
603, 102, 103 
604, 102, 103 
605, 103, 104 
606, 104, 104 
607, 107, 105 
608, 106, 104 
609, 104, 104 
610, 106, 105 
611, 106, 106 
612, 105, 108 
613, 108, 109 
614, 108, 107 
615, 107, 107 
616, 108, 107 
617, 109, 105 
618, 108, 105 
619, 106, 105 
620, 105, 106 
621, 104, 106 
622, 106, 104 
623, 105, 105 
624, 104, 103 
625, 105, 105 
626, 106, 104 
627, 106, 105 
628, 105, 102 
629, 104, 101 
630, 102, 104 
631, 102, 102 
632, 102, 100 
633, 101, 101 
634, 102, 100 
635, 100, 101 
636, 102, 102 
637, 103, 102 
638, 103, 104 
639, 102, 103 
640, 101, 100 
641, 102, 96 
642, 99, 94 
643, 97, 95 
644, 98, 96 
645, 98, 97 
646, 100, 97 
647, 98, 99 
648, 99, 99 
649, 102, 102 
650, 103, 104 
651, 105, 100 
652, 102, 98 
653, 100, 94 
654, 96, 90 
655, 92, 89 
656, 91, 90 
657, 96, 88 
658, 95, 85 
659, 88, 80 
660, 81, 79 
661, 79, 75 
662, 76, 75 
663, 76, 75 
664, 76, 76 
665, 76, 77 
666, 77, 75 
667, 78, 75 
668, 80, 78 
669, 78, 80 
670, 80, 80 
671, 82, 82 
672, 80, 80 
673, 80, 77 
674, 79, 78 
675, 78, 79 
676, 78, 76 
677, 78, 76 
678, 77, 75 
679, 73, 74 
680, 71, 74 
681, 72, 71 
682, 72, 69 
683, 68, 64 
684, 62, 62 
685, 60, 60 
686, 59, 60 
687, 57, 58 
688, 56, 58 
689, 59, 59 
690, 58, 57 
691, 54, 56 
692, 54, 54 
693, 52, 51 
694, 50, 55 
695, 52, 52 
696, 52, 51 
697, 51, 50 
698, 48, 49 
699, 47, 49 
700, 48, 53 
701, 52, 52 
702, 51, 48 
703, 47, 48 
704, 47, 49 
705, 49, 49 
706, 51, 55 
707, 55, 58 
708, 62, 62 
709, 66, 71 
710, 80, 92 
711, 107, 115 
712, 126, 130 
713, 134, 136 
714, 139, 144 
715, 140, 148 
716, 141, 146 
717, 139, 143 
718, 131, 136 
719, 124, 128 
720, 112, 120 
721, 97, 107 
722, 79, 88 
723, 57, 78 
724, 48, 72 
725, 47, 67 
726, 47, 67 
727, 46, 57 
728, 37, 52 
729, 34, 49 
730, 35, 50 
731, 35, 47 
732, 33, 44 
733, 33, 45 
734, 33, 43 
735, 33, 41 
736, 34, 40 
737, 36, 38 
738, 35, 37 
739, 37, 36 
740, 36, 40 
741, 36, 37 
742, 34, 37 
743, 35, 36 
744, 33, 36 
745, 34, 32 
746, 33, 39 
747, 37, 55 
748, 52, 71 
749, 73, 82 
750, 84, 89 
751, 89, 93 
752, 90, 100 
753, 94, 109 
754, 100, 112 
755, 99, 106 
756, 94, 91 
757, 80, 83 
758, 68, 73 
759, 58, 64 
760, 56, 62 
761, 63, 56 
762, 57, 52 
763, 54, 53 
764, 53, 54 
765, 52, 51 
766, 50, 51 
768, 162, 164 
769, 162, 162 
770, 161, 160 
771, 158, 159 
772, 157, 158 
773, 153, 158 
774, 156, 156 
775, 157, 157 
776, 154, 158 
777, 155, 157 
778, 156, 158 
779, 157, 159 
780, 158, 158 
781, 156, 158 
782, 157, 159 
783, 158, 159 
784, 157, 160 
785, 158, 162 
786, 160, 162 
787, 159, 161 
788, 160, 160 
789, 161, 160 
790, 161, 160 
791, 160, 160 
792, 160, 161 
793, 160, 164 
794, 161, 168 
795, 164, 170 
796, 165, 172 
797, 168, 172 
798, 171, 170 
799, 172, 168 
800, 172, 165 
801, 171, 161 
802, 167, 159 
803, 164, 155 
804, 161, 151 
805, 159, 146 
806, 155, 138 
807, 149, 128 
808, 142, 117 
809, 134, 105 
810, 125, 91 
811, 111, 85 
812, 98, 84 
813, 89, 86 
814, 84, 87 
815, 85, 88 
816, 86, 89 
817, 88, 91 
818, 91, 93 
819, 92, 93 
820, 93, 93 
821, 93, 93 
822, 94, 93 
823, 93, 92 
824, 91, 91 
825, 90, 90 
826, 91, 90 
827, 90, 92 
828, 90, 93 
829, 92, 92 
830, 93, 94 
831, 93, 96 
832, 96, 98 
833, 97, 100 
834, 97, 100 
835, 100, 102 
836, 101, 101 
837, 102, 100 
838, 99, 99 
839, 99, 101 
840, 100, 103 
841, 102, 100 
842, 100, 100 
843, 99, 101 
844, 99, 97 
845, 98, 97 
846, 98, 95 
847, 99, 94 
848, 95, 95 
849, 95, 94 
850, 94, 93 
851, 95, 98 
852, 99, 99 
853, 99, 96 
854, 97, 97 
855, 99, 100 
856, 99, 98 
857, 99, 100 
858, 102, 103 
859, 104, 104 
860, 103, 103 
861, 103, 103 
862, 104, 104 
863, 104, 104 
864, 105, 104 
865, 104, 104 
866, 104, 104 
867, 105, 105 
868, 106, 107 
869, 108, 108 
870, 109, 104 
871, 107, 104 
872, 107, 104 
873, 107, 105 
874, 105, 105 
875, 105, 105 
876, 105, 107 
877, 106, 105 
878, 106, 104 
879, 104, 105 
880, 105, 104 
881, 103, 104 
882, 105, 102 
883, 104, 101 
884, 105, 101 
885, 102, 102 
886, 101, 102 
887, 104, 100 
888, 102, 99 
889, 100, 99 
890, 101, 101 
891, 100, 102 
892, 101, 104 
893, 102, 105 
894, 102, 106 
895, 104, 103 
896, 103, 100 
897, 100, 98 
898, 96, 94 
899, 94, 95 
900, 95, 97 
901, 96, 99 
902, 97, 98 
903, 97, 99 
904, 99, 99 
905, 99, 103 
906, 102, 101 
907, 104, 98 
908, 100, 96 
909, 98, 93 
910, 94, 91 
911, 90, 87 
912, 89, 86 
913, 90, 84 
914, 88, 80 
915, 85, 79 
916, 80, 78 
917, 79, 75 
918, 75, 76 
919, 75, 75 
920, 75, 78 
921, 76, 80 
922, 77, 76 
923, 75, 76 
924, 75, 78 
925, 78, 79 
926, 80, 79 
927, 80, 79 
928, 82, 79 
929, 80, 77 
930, 77, 78 
931, 78, 76 
932, 79, 75 
933, 76, 81 
934, 76, 79 
935, 75, 73 
936, 74, 71 
937, 74, 70 
938, 71, 69 
939, 69, 68 
940, 64, 65 
941, 62, 60 
942, 60, 62 
943, 60, 61 
944, 58, 60 
945, 58, 61 
946, 59, 59 
947, 57, 57 
948, 56, 55 
949, 54, 53 
950, 51, 52 
951, 55, 51 
952, 52, 49 
953, 51, 51 
954, 50, 52 
955, 49, 48 
956, 49, 47 
957, 53, 49 
958, 52, 47 
959, 48, 48 
960, 48, 44 
961, 49, 45 
962, 49, 48 
963, 55, 52 
964, 58, 56 
965, 62, 65 
966, 71, 81 
967, 92, 98 
968, 115, 119 
969, 130, 132 
970, 136, 145 
971, 144, 151 
972, 148, 152 
973, 146, 150 
974, 143, 144 
975, 136, 140 
976, 128, 135 
977, 120, 131 
978, 107, 124 
979, 88, 124 
980, 78, 117 
981, 72, 109 
982, 67, 106 
983, 67, 102 
984, 57, 95 
985, 52, 89 
986, 49, 89 
987, 50, 89 
988, 47, 85 
989, 44, 80 
990, 45, 73 
991, 43, 64 
992, 41, 62 
993, 40, 59 
994, 38, 52 
995, 37, 50 
996, 36, 48 
997, 40, 47 
998, 37, 47 
999, 37, 46 
1000, 36, 42 
1001, 36, 37 
1002, 32, 41 
1003, 39, 54 
1004, 55, 68 
1005, 71, 83 
1006, 82, 93 
1007, 89, 100 
1008, 93, 106 
1009, 100, 113 
1010, 109, 115 
1011, 112, 107 
1012, 106, 94 
1013, 91, 91 
1014, 83, 84 
1015, 73, 78 
1016, 64, 68 
1017, 62, 63 
1018, 56, 60 
1019, 52, 59 
1020, 53, 57 
1021, 54, 55 
1022, 51, 54 
1024, 164, 160 
1025, 164, 159 
1026, 162, 160 
1027, 160, 158 
1028, 159, 158 
1029, 158, 157 
1030, 158, 156 
1031, 156, 157 
1032, 157, 157 
1033, 158, 158 
1034, 157, 157 
1035, 158, 159 
1036, 159, 160 
1037, 158, 160 
1038, 158, 160 
1039, 159, 159 
1040, 159, 160 
1041, 160, 164 
1042, 162, 162 
1043, 162, 163 
1044, 161, 161 
1045, 160, 161 
1046, 160, 163 
1047, 160, 164 
1048, 160, 166 
1049, 161, 168 
1050, 164, 169 
1051, 168, 172 
1052, 170, 170 
1053, 172, 168 
1054, 172, 165 
1055, 170, 161 
1056, 168, 158 
1057, 165, 155 
1058, 161, 151 
1059, 159, 145 
1060, 155, 139 
1061, 151, 132 
1062, 146, 122 
1063, 138, 110 
1064, 128, 99 
1065, 117, 88 
1066, 105, 82 
1067, 91, 84 
1068, 85, 87 
1069, 84, 91 
1070, 86, 94 
1071, 87, 92 
1072, 88, 93 
1073, 89, 91 
1074, 91, 92 
1075, 93, 93 
1076, 93, 93 
1077, 93, 93 
1078, 93, 91 
1079, 93, 93 
1080, 92, 89 
1081, 91, 89 
1082, 90, 89 
1083, 90, 93 
1084, 92, 93 
1085, 93, 94 
1086, 92, 94 
1087, 94, 99 
1088, 96, 99 
1089, 98, 101 
1090, 100, 100 
1091, 100, 100 
1092, 102, 100 
1093, 101, 100 
1094, 100, 99 
1095, 99, 100 
1096, 101, 99 
1097, 103, 96 
1098, 100, 98 
1099, 100, 100 
1100, 101, 98 
1101, 97, 97 
1102, 97, 96 
1103, 95, 94 
1104, 94, 97 
1105, 95, 96 
1106, 94, 95 
1107, 93, 96 
1108, 98, 97 
1109, 99, 98 
1110, 96, 99 
1111, 97, 99 
1112, 100, 102 
1113, 98, 99 
1114, 100, 99 
1115, 103, 101 
1116, 104, 102 
1117, 103, 100 
1118, 103, 99 
1119, 104, 103 
1120, 104, 104 
1121, 104, 105 
1122, 104, 104 
1123, 104, 103 
1124, 105, 106 
1125, 107, 106 
1126, 108, 104 
1127, 104, 104 
1128, 104, 103 
1129, 104, 105 
1130, 105, 105 
1131, 105, 106 
1132, 105, 107 
1133, 107, 103 
1134, 105, 102 
1135, 104, 105 
1136, 105, 104 
1137, 104, 102 
1138, 104, 99 
1139, 102, 99 
1140, 101, 102 
1141, 101, 101 
1142, 102, 100 
1143, 102, 99 
1144, 100, 99 
1145, 99, 99 
1146, 99, 101 
1147, 101, 102 
1148, 102, 102 
1149, 104, 106 
1150, 105, 105 
1151, 106, 103 
1152, 103, 101 
1153, 100, 98 
1154, 98, 96 
1155, 94, 96 
1156, 95, 96 
1157, 97, 98 
1158, 99, 98 
1159, 98, 99 
1160, 99, 99 
1161, 99, 101 
1162, 103, 100 
1163, 101, 98 
1164, 98, 94 
1165, 96, 89 
1166, 93, 87 
1167, 91, 85 
1168, 87, 86 
1169, 86, 82 
1170, 84, 79 
1171, 80, 76 
1172, 79, 76 
1173, 78, 76 
1174, 75, 76 
1175, 76, 77 
1176, 75, 76 
1177, 78, 77 
1178, 80, 74 
1179, 76, 72 
1180, 76, 77 
1181, 78, 78 
1182, 79, 77 
1183, 79, 78 
1184, 79, 77 
1185, 79, 79 
1186, 77, 78 
1187, 78, 75 
1188, 76, 79 
1189, 75, 81 
1190, 81, 79 
1191, 79, 74 
1192, 73, 72 
1193, 71, 68 
1194, 70, 70 
1195, 69, 71 
1196, 68, 67 
1197, 65, 63 
1198, 60, 66 
1199, 62, 64 
1200, 61, 61 
1201, 60, 63 
1202, 61, 61 
1203, 59, 57 
1204, 57, 57 
1205, 55, 57 
1206, 53, 52 
1207, 52, 51 
1208, 51, 48 
1209, 49, 50 
1210, 51, 49 
1211, 52, 47 
1212, 48, 46 
1213, 47, 48 
1214, 49, 44 
1215, 47, 44 
1216, 48, 44 
1217, 44, 42 
1218, 45, 44 
1219, 48, 48 
1220, 52, 53 
1221, 56, 57 
1222, 65, 73 
1223, 81, 88 
1224, 98, 107 
1225, 119, 124 
1226, 132, 138 
1227, 145, 146 
1228, 151, 150 
1229, 152, 152 
1230, 150, 151 
1231, 144, 151 
1232, 140, 153 
1233, 135, 157 
1234, 131, 154 
1235, 124, 153 
1236, 124, 151 
1237, 117, 146 
1238, 109, 143 
1239, 106, 142 
1240, 102, 137 
1241, 95, 132 
1242, 89, 132 
1243, 89, 132 
1244, 89, 131 
1245, 85, 123 
1246, 80, 117 
1247, 73, 113 
1248, 64, 109 
1249, 62, 103 
1250, 59, 95 
1251, 52, 88 
1252, 50, 86 
1253, 48, 90 
1254, 47, 83 
1255, 47, 70 
1256, 46, 63 
1257, 42, 63 
1258, 37, 62 
1259, 41, 69 
1260, 54, 78 
1261, 68, 91 
1262, 83, 99 
1263, 93, 108 
1264, 100, 117 
1265, 106, 121 
1266, 113, 116 
1267, 115, 105 
1268, 107, 98 
1269, 94, 94 
1270, 91, 88 
1271, 84, 84 
1272, 78, 74 
1273, 68, 66 
1274, 63, 62 
1275, 60, 58 
1276, 59, 55 
1277, 57, 53 
1278, 55, 49 
1280, 160, 159 
1281, 160, 157 
1282, 159, 155 
1283, 160, 157 
1284, 158, 156 
1285, 158, 155 
1286, 157, 156 
1287, 156, 156 
1288, 157, 157 
1289, 157, 158 
1290, 158, 158 
1291, 157, 159 
1292, 159, 159 
1293, 160, 159 
1294, 160, 160 
1295, 160, 160 
1296, 159, 161 
1297, 160, 162 
1298, 164, 161 
1299, 162, 161 
1300, 163, 162 
1301, 161, 163 
1302, 161, 165 
1303, 163, 168 
1304, 164, 170 
1305, 166, 169 
1306, 168, 169 
1307, 169, 168 
1308, 172, 164 
1309, 170, 161 
1310, 168, 158 
1311, 165, 155 
1312, 161, 150 
1313, 158, 146 
1314, 155, 141 
1315, 151, 133 
1316, 145, 122 
1317, 139, 112 
1318, 132, 100 
1319, 122, 91 
1320, 110, 82 
1321, 99, 81 
1322, 88, 86 
1323, 82, 88 
1324, 84, 89 
1325, 87, 93 
1326, 91, 94 
1327, 94, 92 
1328, 92, 94 
1329, 93, 91 
1330, 91, 93 
1331, 92, 93 
1332, 93, 93 
1333, 93, 91 
1334, 93, 92 
1335, 91, 92 
1336, 93, 87 
1337, 89, 88 
1338, 89, 89 
1339, 89, 92 
1340, 93, 93 
1341, 93, 94 
1342, 94, 96 
1343, 94, 98 
1344, 99, 100 
1345, 99, 100 
1346, 101, 100 
1347, 100, 100 
1348, 100, 99 
1349, 100, 100 
1350, 100, 99 
1351, 99, 99 
1352, 100, 97 
1353, 99, 98 
1354, 96, 97 
1355, 98, 97 
1356, 100, 97 
1357, 98, 97 
1358, 97, 96 
1359, 96, 94 
1360, 94, 96 
1361, 97, 96 
1362, 96, 96 
1363, 95, 96 
1364, 96, 95 
1365, 97, 99 
1366, 98, 98 
1367, 99, 97 
1368, 99, 98 
1369, 102, 99 
1370, 99, 99 
1371, 99, 98 
1372, 101, 98 
1373, 102, 98 
1374, 100, 99 
1375, 99, 104 
1376, 103, 104 
1377, 104, 104 
1378, 105, 102 
1379, 104, 101 
1380, 103, 104 
1381, 106, 104 
1382, 106, 103 
1383, 104, 103 
1384, 104, 103 
1385, 103, 102 
1386, 105, 103 
1387, 105, 104 
1388, 106, 104 
1389, 107, 102 
1390, 103, 101 
1391, 102, 103 
1392, 105, 102 
1393, 104, 102 
1394, 102, 100 
1395, 99, 100 
1396, 99, 100 
1397, 102, 100 
1398, 101, 100 
1399, 100, 99 
1400, 99, 99 
1401, 99, 99 
1402, 99, 100 
1403, 101, 101 
1404, 102, 101 
1405, 102, 102 
1406, 106, 104 
1407, 105, 100 
1408, 103, 99 
1409, 101, 95 
1410, 98, 93 
1411, 96, 93 
1412, 96, 95 
1413, 96, 96 
1414, 98, 97 
1415, 98, 96 
1416, 99, 96 
1417, 99, 95 
1418, 101, 93 
1419, 100, 92 
1420, 98, 90 
1421, 94, 86 
1422, 89, 83 
1423, 87, 84 
1424, 85, 84 
1425, 86, 82 
1426, 82, 82 
1427, 79, 79 
1428, 76, 75 
1429, 76, 72 
1430, 76, 75 
1431, 76, 76 
1432, 77, 74 
1433, 76, 76 
1434, 77, 73 
1435, 74, 73 
1436, 72, 76 
1437, 77, 74 
1438, 78, 74 
1439, 77, 74 
1440, 78, 76 
1441, 77, 79 
1442, 79, 75 
1443, 78, 76 
1444, 75, 79 
1445, 79, 79 
1446, 81, 75 
1447, 79, 76 
1448, 74, 74 
1449, 72, 70 
1450, 68, 69 
1451, 70, 71 
1452, 71, 69 
1453, 67, 68 
1454, 63, 67 
1455, 66, 67 
1456, 64, 65 
1457, 61, 65 
1458, 63, 62 
1459, 61, 59 
1460, 57, 57 
1461, 57, 56 
1462, 57, 51 
1463, 52, 51 
1464, 51, 47 
1465, 48, 49 
1466, 50, 50 
1467, 49, 49 
1468, 47, 49 
1469, 46, 48 
1470, 48, 46 
1471, 44, 43 
1472, 44, 44 
1473, 44, 43 
1474, 42, 41 
1475, 44, 46 
1476, 48, 52 
1477, 53, 54 
1478, 57, 64 
1479, 73, 78 
1480, 88, 93 
1481, 107, 111 
1482, 124, 127 
1483, 138, 139 
1484, 146, 148 
1485, 150, 152 
1486, 152, 156 
1487, 151, 161 
1488, 151, 164 
1489, 153, 164 
1490, 157, 166 
1491, 154, 167 
1492, 153, 167 
1493, 151, 165 
1494, 146, 160 
1495, 143, 157 
1496, 142, 157 
1497, 137, 158 
1498, 132, 157 
1499, 132, 154 
1500, 132, 153 
