INDEX,chaos_ECB_dataA, chaos_ECB_dataB 
123, 231, 121 
124, 36, 6 
125, 5, 71 
126, 77, 22 
127, 69, 182 
128, 43, 77 
129, 255, 144 
130, 183, 132 
131, 55, 191 
132, 228, 115 
133, 25, 120 
134, 214, 203 
135, 222, 126 
136, 228, 104 
137, 190, 194 
138, 63, 200 
139, 123, 62 
140, 7, 51 
141, 26, 244 
142, 140, 138 
143, 153, 71 
144, 59, 254 
145, 23, 244 
146, 75, 67 
147, 56, 127 
148, 186, 209 
149, 170, 186 
150, 9, 96 
151, 120, 179 
152, 94, 48 
153, 183, 44 
154, 190, 102 
155, 32, 195 
156, 197, 43 
157, 229, 3 
158, 115, 230 
159, 46, 150 
160, 237, 155 
161, 7, 236 
162, 241, 89 
163, 23, 107 
164, 129, 59 
165, 244, 43 
166, 126, 217 
167, 52, 155 
168, 233, 205 
169, 213, 133 
170, 250, 178 
171, 224, 243 
172, 110, 41 
173, 118, 115 
174, 230, 221 
175, 11, 227 
176, 221, 89 
177, 179, 94 
178, 40, 178 
179, 176, 203 
180, 8, 213 
181, 61, 109 
182, 3, 146 
183, 16, 87 
184, 252, 87 
185, 130, 86 
186, 78, 114 
187, 132, 130 
188, 228, 216 
189, 225, 14 
190, 11, 244 
191, 57, 20 
192, 76, 140 
193, 231, 3 
194, 7, 236 
195, 215, 5 
196, 51, 130 
197, 43, 217 
198, 140, 43 
199, 102, 189 
200, 203, 57 
201, 113, 0 
202, 14, 125 
203, 102, 5 
204, 138, 118 
205, 55, 210 
206, 101, 229 
207, 187, 127 
208, 75, 67 
209, 133, 21 
210, 206, 61 
211, 148, 214 
212, 245, 61 
213, 123, 216 
214, 164, 236 
215, 125, 156 
216, 216, 244 
217, 85, 71 
218, 152, 124 
219, 206, 139 
220, 238, 242 
221, 139, 96 
222, 82, 9 
223, 140, 21 
224, 18, 189 
225, 185, 96 
226, 8, 71 
227, 190, 211 
228, 126, 71 
229, 72, 64 
230, 36, 17 
231, 254, 146 
232, 226, 203 
233, 159, 166 
234, 198, 22 
235, 47, 70 
236, 55, 177 
237, 164, 176 
238, 86, 204 
239, 125, 54 
240, 223, 179 
241, 84, 212 
242, 206, 105 
243, 244, 187 
244, 123, 230 
245, 196, 128 
246, 95, 136 
247, 78, 232 
248, 133, 16 
249, 68, 2 
250, 152, 116 
251, 238, 125 
252, 157, 167 
253, 65, 125 
254, 216, 171 
256, 211, 124 
257, 55, 173 
258, 150, 8 
259, 6, 58 
260, 52, 27 
261, 214, 175 
262, 101, 152 
263, 153, 146 
264, 217, 251 
265, 39, 172 
266, 110, 161 
267, 62, 210 
268, 200, 33 
269, 151, 125 
270, 200, 90 
271, 191, 76 
272, 244, 113 
273, 202, 234 
274, 102, 15 
275, 144, 107 
276, 57, 104 
277, 4, 56 
278, 199, 28 
279, 150, 176 
280, 1, 110 
281, 98, 251 
282, 89, 220 
283, 65, 71 
284, 198, 194 
285, 38, 224 
286, 237, 160 
287, 74, 3 
288, 226, 75 
289, 244, 148 
290, 72, 1 
291, 148, 141 
292, 125, 112 
293, 240, 239 
294, 59, 244 
295, 160, 216 
296, 153, 100 
297, 39, 209 
298, 64, 206 
299, 15, 27 
300, 56, 168 
301, 31, 52 
302, 23, 11 
303, 170, 127 
304, 27, 183 
305, 148, 168 
306, 137, 126 
307, 59, 47 
308, 87, 52 
309, 143, 122 
310, 154, 78 
311, 50, 137 
312, 132, 200 
313, 199, 65 
314, 14, 196 
315, 228, 156 
316, 78, 139 
317, 49, 231 
318, 165, 93 
319, 14, 88 
320, 23, 15 
321, 98, 229 
322, 237, 14 
323, 84, 196 
324, 167, 175 
325, 89, 56 
326, 105, 91 
327, 190, 243 
328, 55, 145 
329, 121, 63 
330, 94, 230 
331, 37, 155 
332, 186, 199 
333, 95, 94 
334, 19, 252 
335, 228, 157 
336, 86, 1 
337, 144, 205 
338, 254, 105 
339, 201, 201 
340, 53, 250 
341, 199, 207 
342, 123, 43 
343, 221, 83 
344, 87, 192 
345, 208, 182 
346, 189, 2 
347, 165, 134 
348, 170, 221 
349, 231, 242 
350, 15, 129 
351, 73, 69 
352, 223, 107 
353, 122, 34 
354, 28, 216 
355, 183, 9 
356, 251, 192 
357, 231, 182 
358, 176, 36 
359, 165, 232 
360, 193, 64 
361, 27, 34 
362, 244, 43 
363, 190, 34 
364, 184, 19 
365, 157, 127 
366, 157, 212 
367, 164, 214 
368, 27, 137 
369, 82, 124 
370, 49, 7 
371, 186, 44 
372, 248, 217 
373, 175, 133 
374, 211, 244 
375, 5, 89 
376, 119, 164 
377, 110, 99 
378, 40, 53 
379, 246, 87 
380, 121, 237 
381, 6, 222 
382, 71, 100 
383, 22, 169 
384, 182, 165 
385, 77, 202 
386, 144, 119 
387, 132, 242 
388, 191, 53 
389, 115, 28 
390, 120, 55 
391, 203, 133 
392, 126, 34 
393, 104, 254 
394, 194, 244 
395, 200, 116 
396, 62, 216 
397, 51, 11 
398, 244, 147 
399, 138, 150 
400, 71, 51 
401, 254, 25 
402, 244, 44 
403, 67, 177 
404, 127, 118 
405, 209, 73 
406, 186, 195 
407, 96, 44 
408, 179, 171 
409, 48, 84 
410, 44, 128 
411, 102, 85 
412, 195, 255 
413, 43, 90 
414, 3, 122 
415, 230, 221 
416, 150, 240 
417, 155, 199 
418, 236, 221 
419, 89, 49 
420, 107, 124 
421, 59, 135 
422, 43, 127 
423, 217, 120 
424, 155, 248 
425, 205, 92 
426, 133, 2 
427, 178, 126 
428, 243, 45 
429, 41, 6 
430, 115, 246 
431, 221, 194 
432, 227, 147 
433, 89, 196 
434, 94, 204 
435, 178, 222 
436, 203, 112 
437, 213, 165 
438, 109, 204 
439, 146, 170 
440, 87, 151 
441, 87, 183 
442, 86, 203 
443, 114, 94 
444, 130, 75 
445, 216, 222 
446, 14, 80 
447, 244, 33 
448, 20, 245 
449, 140, 239 
450, 3, 155 
451, 236, 39 
452, 5, 192 
453, 130, 34 
454, 217, 5 
455, 43, 127 
456, 189, 61 
457, 57, 135 
458, 0, 43 
459, 125, 31 
460, 5, 91 
461, 118, 15 
462, 210, 118 
463, 229, 89 
464, 127, 127 
465, 67, 30 
466, 21, 169 
467, 61, 192 
468, 214, 1 
469, 61, 76 
470, 216, 25 
471, 236, 227 
472, 156, 229 
473, 244, 57 
474, 71, 93 
475, 124, 155 
476, 139, 124 
477, 242, 242 
478, 96, 68 
479, 9, 209 
480, 21, 169 
481, 189, 251 
482, 96, 66 
483, 71, 0 
484, 211, 111 
485, 71, 170 
486, 64, 103 
487, 17, 180 
488, 146, 0 
489, 203, 223 
490, 166, 5 
491, 22, 247 
492, 70, 164 
493, 177, 122 
494, 176, 239 
495, 204, 155 
496, 54, 44 
497, 179, 208 
498, 212, 109 
499, 105, 7 
500, 187, 24 
501, 230, 134 
502, 128, 173 
503, 136, 158 
504, 232, 99 
505, 16, 59 
506, 2, 95 
507, 116, 222 
508, 125, 44 
509, 167, 221 
510, 125, 166 
512, 143, 139 
513, 124, 215 
514, 173, 57 
515, 8, 193 
516, 58, 231 
517, 27, 108 
518, 175, 53 
519, 152, 202 
520, 146, 178 
521, 251, 208 
522, 172, 55 
523, 161, 45 
524, 210, 96 
525, 33, 51 
526, 125, 213 
527, 90, 250 
528, 76, 79 
529, 113, 19 
530, 234, 218 
531, 15, 9 
532, 107, 107 
533, 104, 72 
534, 56, 112 
535, 28, 213 
536, 176, 114 
537, 110, 26 
538, 251, 163 
539, 220, 242 
540, 71, 151 
541, 194, 38 
542, 224, 143 
543, 160, 97 
544, 3, 20 
545, 75, 239 
546, 148, 62 
547, 1, 228 
548, 141, 108 
549, 112, 255 
550, 239, 30 
551, 244, 200 
552, 216, 34 
553, 100, 18 
554, 209, 93 
555, 206, 142 
556, 27, 194 
557, 168, 216 
558, 52, 6 
559, 11, 221 
560, 127, 151 
561, 183, 198 
562, 168, 20 
563, 126, 216 
564, 47, 84 
565, 52, 102 
566, 122, 23 
567, 78, 250 
568, 137, 236 
569, 200, 130 
570, 65, 100 
571, 196, 74 
572, 156, 120 
573, 139, 2 
574, 231, 190 
575, 93, 135 
576, 88, 40 
577, 15, 176 
578, 229, 165 
579, 14, 89 
580, 196, 186 
581, 175, 121 
582, 56, 219 
583, 91, 114 
584, 243, 236 
585, 145, 126 
586, 63, 200 
587, 230, 221 
588, 155, 102 
589, 199, 183 
590, 94, 67 
591, 252, 218 
592, 157, 122 
593, 1, 192 
594, 205, 61 
595, 105, 69 
596, 201, 1 
597, 250, 50 
598, 207, 109 
599, 43, 69 
600, 83, 202 
601, 192, 104 
602, 182, 218 
603, 2, 131 
604, 134, 157 
605, 221, 127 
606, 242, 208 
607, 129, 28 
608, 69, 56 
609, 107, 186 
610, 34, 177 
611, 216, 134 
612, 9, 249 
613, 192, 201 
614, 182, 17 
615, 36, 63 
616, 232, 158 
617, 64, 72 
618, 34, 141 
619, 43, 181 
620, 34, 124 
621, 19, 15 
622, 127, 54 
623, 212, 177 
624, 214, 242 
625, 137, 79 
626, 124, 249 
627, 7, 1 
628, 44, 230 
629, 217, 144 
630, 133, 68 
631, 244, 168 
632, 89, 8 
633, 164, 165 
634, 99, 140 
635, 53, 158 
636, 87, 122 
637, 237, 34 
638, 222, 77 
639, 100, 178 
640, 169, 217 
641, 165, 134 
642, 202, 1 
643, 119, 13 
644, 242, 59 
645, 53, 213 
646, 28, 189 
647, 55, 150 
648, 133, 46 
649, 34, 161 
650, 254, 203 
651, 244, 169 
652, 116, 150 
653, 216, 179 
654, 11, 65 
655, 147, 45 
656, 150, 60 
657, 51, 173 
658, 25, 82 
659, 44, 202 
660, 177, 136 
661, 118, 55 
662, 73, 56 
663, 195, 4 
664, 44, 151 
665, 171, 225 
666, 84, 20 
667, 128, 66 
668, 85, 249 
669, 255, 214 
670, 90, 156 
671, 122, 197 
672, 221, 171 
673, 240, 152 
674, 199, 51 
675, 221, 30 
676, 49, 252 
677, 124, 172 
678, 135, 30 
679, 127, 120 
680, 120, 214 
681, 248, 255 
682, 92, 30 
683, 2, 8 
684, 126, 158 
685, 45, 67 
686, 6, 36 
687, 246, 3 
688, 194, 38 
689, 147, 157 
690, 196, 207 
691, 204, 143 
692, 222, 177 
693, 112, 61 
694, 165, 237 
695, 204, 156 
696, 170, 96 
697, 151, 78 
698, 183, 112 
699, 203, 103 
700, 94, 103 
701, 75, 181 
702, 222, 227 
703, 80, 204 
704, 33, 163 
705, 245, 85 
706, 239, 220 
707, 155, 175 
708, 39, 119 
709, 192, 33 
710, 34, 61 
711, 5, 82 
712, 127, 29 
713, 61, 101 
714, 135, 215 
715, 43, 74 
716, 31, 33 
717, 91, 104 
718, 15, 142 
719, 118, 184 
720, 89, 136 
721, 127, 85 
722, 30, 64 
723, 169, 5 
724, 192, 29 
725, 1, 54 
726, 76, 234 
727, 25, 188 
728, 227, 27 
729, 229, 164 
730, 57, 95 
731, 93, 130 
732, 155, 55 
733, 124, 85 
734, 242, 200 
735, 68, 173 
736, 209, 169 
737, 169, 56 
738, 251, 181 
739, 66, 34 
740, 0, 78 
741, 111, 4 
742, 170, 142 
743, 103, 172 
744, 180, 153 
745, 0, 39 
746, 223, 154 
747, 5, 140 
748, 247, 205 
749, 164, 55 
750, 122, 78 
751, 239, 163 
752, 155, 20 
753, 44, 172 
754, 208, 30 
755, 109, 14 
756, 7, 214 
757, 24, 189 
758, 134, 12 
759, 173, 246 
760, 158, 48 
761, 99, 177 
762, 59, 98 
763, 95, 95 
764, 222, 216 
765, 44, 210 
766, 221, 221 
768, 18, 73 
769, 139, 87 
770, 215, 65 
771, 57, 187 
772, 193, 97 
773, 231, 28 
774, 108, 250 
775, 53, 93 
776, 202, 16 
777, 178, 121 
778, 208, 25 
779, 55, 23 
780, 45, 165 
781, 96, 66 
782, 51, 36 
783, 213, 66 
784, 250, 87 
785, 79, 125 
786, 19, 202 
787, 218, 101 
788, 9, 110 
789, 107, 215 
790, 72, 235 
791, 112, 29 
792, 213, 99 
793, 114, 181 
794, 26, 220 
795, 163, 237 
796, 242, 64 
797, 151, 188 
798, 38, 174 
799, 143, 102 
800, 97, 165 
801, 20, 215 
802, 239, 90 
803, 62, 144 
804, 228, 31 
805, 108, 62 
806, 255, 0 
807, 30, 242 
808, 200, 212 
809, 34, 113 
810, 18, 169 
811, 93, 74 
812, 142, 103 
813, 194, 171 
814, 216, 181 
815, 6, 228 
816, 221, 43 
817, 151, 233 
818, 198, 4 
819, 20, 131 
820, 216, 72 
821, 84, 4 
822, 102, 4 
823, 23, 161 
824, 250, 62 
825, 236, 223 
826, 130, 18 
827, 100, 184 
828, 74, 88 
829, 120, 104 
830, 2, 201 
831, 190, 210 
832, 135, 107 
833, 40, 28 
834, 176, 191 
835, 165, 79 
836, 89, 235 
837, 186, 213 
838, 121, 110 
839, 219, 191 
840, 114, 43 
841, 236, 73 
842, 126, 130 
843, 200, 87 
844, 221, 176 
845, 102, 224 
846, 183, 229 
847, 67, 4 
848, 218, 87 
849, 122, 204 
850, 192, 156 
851, 61, 182 
852, 69, 89 
853, 1, 80 
854, 50, 171 
855, 109, 34 
856, 69, 155 
857, 202, 144 
858, 104, 49 
859, 218, 2 
860, 131, 211 
861, 157, 135 
862, 127, 170 
863, 208, 211 
864, 28, 25 
865, 56, 117 
866, 186, 42 
867, 177, 46 
868, 134, 230 
869, 249, 214 
870, 201, 100 
871, 17, 133 
872, 63, 97 
873, 158, 241 
874, 72, 125 
875, 141, 30 
876, 181, 161 
877, 124, 20 
878, 15, 230 
879, 54, 245 
880, 177, 216 
881, 242, 71 
882, 79, 4 
883, 249, 109 
884, 1, 90 
885, 230, 141 
886, 144, 230 
887, 68, 152 
888, 168, 2 
889, 8, 107 
890, 165, 94 
891, 140, 245 
892, 158, 123 
893, 122, 129 
894, 34, 17 
895, 77, 238 
896, 178, 218 
897, 217, 191 
898, 134, 162 
899, 1, 28 
900, 13, 83 
901, 59, 203 
902, 213, 41 
903, 189, 143 
904, 150, 252 
905, 46, 36 
906, 161, 153 
907, 203, 23 
908, 169, 233 
909, 150, 177 
910, 179, 52 
911, 65, 13 
912, 45, 160 
913, 60, 209 
914, 173, 192 
915, 82, 96 
916, 202, 124 
917, 136, 148 
918, 55, 126 
919, 56, 150 
920, 4, 64 
921, 151, 55 
922, 225, 79 
923, 20, 196 
924, 66, 187 
925, 249, 222 
926, 214, 180 
927, 156, 144 
928, 197, 134 
929, 171, 147 
930, 152, 132 
931, 51, 89 
932, 30, 41 
933, 252, 98 
934, 172, 72 
935, 30, 176 
936, 120, 213 
937, 214, 103 
938, 255, 186 
939, 30, 133 
940, 8, 23 
941, 158, 5 
942, 67, 99 
943, 36, 159 
944, 3, 71 
945, 38, 121 
946, 157, 230 
947, 207, 65 
948, 143, 188 
949, 177, 240 
950, 61, 20 
951, 237, 83 
952, 156, 239 
953, 96, 150 
954, 78, 240 
955, 112, 203 
956, 103, 108 
957, 103, 76 
958, 181, 169 
959, 227, 48 
960, 204, 163 
961, 163, 234 
962, 85, 162 
963, 220, 192 
964, 175, 37 
965, 119, 15 
966, 33, 213 
967, 61, 109 
968, 82, 211 
969, 29, 66 
970, 101, 22 
971, 215, 201 
972, 74, 200 
973, 33, 50 
974, 104, 81 
975, 142, 214 
976, 184, 164 
977, 136, 243 
978, 85, 41 
979, 64, 238 
980, 5, 172 
981, 29, 23 
982, 54, 14 
983, 234, 244 
984, 188, 95 
985, 27, 2 
986, 164, 248 
987, 95, 117 
988, 130, 156 
989, 55, 50 
990, 85, 15 
991, 200, 61 
992, 173, 10 
993, 169, 203 
994, 56, 221 
995, 181, 181 
996, 34, 74 
997, 78, 34 
998, 4, 81 
999, 142, 229 
1000, 172, 117 
1001, 153, 52 
1002, 39, 62 
1003, 154, 150 
1004, 140, 160 
1005, 205, 51 
1006, 55, 7 
1007, 78, 173 
1008, 163, 242 
1009, 20, 47 
1010, 172, 187 
1011, 30, 137 
1012, 14, 157 
1013, 214, 13 
1014, 189, 226 
1015, 12, 203 
1016, 246, 209 
1017, 48, 101 
1018, 177, 219 
1019, 98, 33 
1020, 95, 240 
1021, 216, 60 
1022, 210, 139 
1024, 0, 49 
1025, 73, 119 
1026, 87, 47 
1027, 65, 35 
1028, 187, 33 
1029, 97, 58 
1030, 28, 255 
1031, 250, 20 
1032, 93, 219 
1033, 16, 235 
1034, 121, 105 
1035, 25, 66 
1036, 23, 154 
1037, 165, 196 
1038, 66, 63 
1039, 36, 142 
1040, 66, 115 
1041, 87, 148 
1042, 125, 91 
1043, 202, 217 
1044, 101, 143 
1045, 110, 163 
1046, 215, 9 
1047, 235, 96 
1048, 29, 144 
1049, 99, 81 
1050, 181, 125 
1051, 220, 83 
1052, 237, 62 
1053, 64, 41 
1054, 188, 73 
1055, 174, 136 
1056, 102, 25 
1057, 165, 154 
1058, 215, 37 
1059, 90, 229 
1060, 144, 41 
1061, 31, 178 
1062, 62, 234 
1063, 0, 55 
1064, 242, 161 
1065, 212, 56 
1066, 113, 201 
1067, 169, 216 
1068, 74, 30 
1069, 103, 141 
1070, 171, 4 
1071, 181, 230 
1072, 228, 200 
1073, 43, 89 
1074, 233, 162 
1075, 4, 55 
1076, 131, 164 
1077, 72, 7 
1078, 4, 163 
1079, 4, 163 
1080, 161, 208 
1081, 62, 111 
1082, 223, 132 
1083, 18, 102 
1084, 184, 233 
1085, 88, 102 
1086, 104, 12 
1087, 201, 22 
1088, 210, 25 
1089, 107, 121 
1090, 28, 241 
1091, 191, 121 
1092, 79, 199 
1093, 235, 254 
1094, 213, 124 
1095, 110, 138 
1096, 191, 181 
1097, 43, 97 
1098, 73, 59 
1099, 130, 142 
1100, 87, 129 
1101, 176, 223 
1102, 224, 95 
1103, 229, 58 
1104, 4, 251 
1105, 87, 28 
1106, 204, 88 
1107, 156, 142 
1108, 182, 37 
1109, 89, 27 
1110, 80, 137 
1111, 171, 4 
1112, 34, 133 
1113, 155, 195 
1114, 144, 8 
1115, 49, 32 
1116, 2, 48 
1117, 211, 170 
1118, 135, 192 
1119, 170, 224 
1120, 211, 67 
1121, 25, 162 
1122, 117, 78 
1123, 42, 31 
1124, 46, 130 
1125, 230, 90 
1126, 214, 147 
1127, 100, 40 
1128, 133, 75 
1129, 97, 229 
1130, 241, 188 
1131, 125, 142 
1132, 30, 241 
1133, 161, 70 
1134, 20, 128 
1135, 230, 42 
1136, 245, 255 
1137, 216, 108 
1138, 71, 11 
1139, 4, 237 
1140, 109, 18 
1141, 90, 119 
1142, 141, 155 
1143, 230, 78 
1144, 152, 12 
1145, 2, 22 
1146, 107, 114 
1147, 94, 162 
1148, 245, 116 
1149, 123, 202 
1150, 129, 104 
1151, 17, 160 
1152, 238, 243 
1153, 218, 176 
1154, 191, 110 
1155, 162, 46 
1156, 28, 86 
1157, 83, 203 
1158, 203, 70 
1159, 41, 75 
1160, 143, 94 
1161, 252, 86 
1162, 36, 202 
1163, 153, 194 
1164, 23, 185 
1165, 233, 253 
1166, 177, 122 
1167, 52, 112 
1168, 13, 213 
1169, 160, 56 
1170, 209, 154 
1171, 192, 117 
1172, 96, 251 
1173, 124, 105 
1174, 148, 232 
1175, 126, 145 
1176, 150, 133 
1177, 64, 174 
1178, 55, 140 
1179, 79, 240 
1180, 196, 195 
1181, 187, 104 
1182, 222, 163 
1183, 180, 33 
1184, 144, 71 
1185, 134, 23 
1186, 147, 143 
1187, 132, 76 
1188, 89, 156 
1189, 41, 204 
1190, 98, 204 
1191, 72, 108 
1192, 176, 217 
1193, 213, 79 
1194, 103, 135 
1195, 186, 61 
1196, 133, 52 
1197, 23, 135 
1198, 5, 38 
1199, 99, 128 
1200, 159, 128 
1201, 71, 153 
1202, 121, 211 
1203, 230, 251 
1204, 65, 80 
1205, 188, 164 
1206, 240, 31 
1207, 20, 104 
1208, 83, 242 
1209, 239, 178 
1210, 150, 175 
1211, 240, 65 
1212, 203, 243 
1213, 108, 21 
1214, 76, 30 
1215, 169, 130 
1216, 48, 90 
1217, 163, 215 
1218, 234, 131 
1219, 162, 160 
1220, 192, 115 
1221, 37, 121 
1222, 15, 34 
1223, 213, 171 
1224, 109, 24 
1225, 211, 171 
1226, 66, 62 
1227, 22, 0 
1228, 201, 227 
1229, 200, 232 
1230, 50, 67 
1231, 81, 107 
1232, 214, 34 
1233, 164, 149 
1234, 243, 114 
1235, 41, 145 
1236, 238, 246 
1237, 172, 44 
1238, 23, 61 
1239, 14, 220 
1240, 244, 52 
1241, 95, 187 
1242, 2, 213 
1243, 248, 84 
1244, 117, 244 
1245, 156, 168 
1246, 50, 154 
1247, 15, 236 
1248, 61, 76 
1249, 10, 147 
1250, 203, 88 
1251, 221, 167 
1252, 181, 241 
1253, 74, 172 
1254, 34, 240 
1255, 81, 109 
1256, 229, 150 
1257, 117, 126 
1258, 52, 182 
1259, 62, 199 
1260, 150, 190 
1261, 160, 177 
1262, 51, 84 
1263, 7, 40 
1264, 173, 151 
1265, 242, 83 
1266, 47, 68 
1267, 187, 55 
1268, 137, 71 
1269, 157, 193 
1270, 13, 92 
1271, 226, 15 
1272, 203, 251 
1273, 209, 46 
1274, 101, 191 
1275, 219, 140 
1276, 33, 62 
1277, 240, 224 
1278, 60, 5 
1280, 244, 249 
1281, 49, 113 
1282, 119, 54 
1283, 47, 198 
1284, 35, 244 
1285, 33, 225 
1286, 58, 113 
1287, 255, 232 
1288, 20, 149 
1289, 219, 246 
1290, 235, 61 
1291, 105, 213 
1292, 66, 36 
1293, 154, 167 
1294, 196, 159 
1295, 63, 143 
1296, 142, 102 
1297, 115, 124 
1298, 148, 69 
1299, 91, 11 
1300, 217, 61 
1301, 143, 32 
1302, 163, 87 
1303, 9, 111 
1304, 96, 127 
1305, 144, 240 
1306, 81, 247 
1307, 125, 243 
1308, 83, 82 
1309, 62, 241 
1310, 41, 221 
1311, 73, 221 
1312, 136, 111 
1313, 25, 199 
1314, 154, 39 
1315, 37, 14 
1316, 229, 248 
1317, 41, 22 
1318, 178, 157 
1319, 234, 155 
1320, 55, 150 
1321, 161, 222 
1322, 56, 31 
1323, 201, 19 
1324, 216, 155 
1325, 30, 68 
1326, 141, 83 
1327, 4, 83 
1328, 230, 127 
1329, 200, 184 
1330, 89, 198 
1331, 162, 66 
1332, 55, 69 
1333, 164, 27 
1334, 7, 25 
1335, 163, 144 
1336, 163, 206 
1337, 208, 37 
1338, 111, 140 
1339, 132, 42 
1340, 102, 123 
1341, 233, 162 
1342, 102, 15 
1343, 12, 189 
1344, 22, 86 
1345, 25, 153 
1346, 121, 3 
1347, 241, 58 
1348, 121, 252 
1349, 199, 127 
1350, 254, 91 
1351, 124, 123 
1352, 138, 203 
1353, 181, 11 
1354, 97, 247 
1355, 59, 190 
1356, 142, 37 
1357, 129, 197 
1358, 223, 164 
1359, 95, 70 
1360, 58, 200 
1361, 251, 129 
1362, 28, 245 
1363, 88, 164 
1364, 142, 216 
1365, 37, 114 
1366, 27, 196 
1367, 137, 99 
1368, 4, 52 
1369, 133, 58 
1370, 195, 99 
1371, 8, 237 
1372, 32, 206 
1373, 48, 140 
1374, 170, 103 
1375, 192, 24 
1376, 224, 96 
1377, 67, 100 
1378, 162, 155 
1379, 78, 184 
1380, 31, 154 
1381, 130, 64 
1382, 90, 41 
1383, 147, 169 
1384, 40, 137 
1385, 75, 186 
1386, 229, 212 
1387, 188, 70 
1388, 142, 0 
1389, 241, 108 
1390, 70, 222 
1391, 128, 12 
1392, 42, 39 
1393, 255, 66 
1394, 108, 94 
1395, 11, 89 
1396, 237, 168 
1397, 18, 209 
1398, 119, 187 
1399, 155, 110 
1400, 78, 127 
1401, 12, 228 
1402, 22, 150 
1403, 114, 161 
1404, 162, 153 
1405, 116, 181 
1406, 202, 217 
1407, 104, 151 
1408, 160, 164 
1409, 243, 63 
1410, 176, 118 
1411, 110, 159 
1412, 46, 150 
1413, 86, 63 
1414, 203, 35 
1415, 70, 145 
1416, 75, 22 
1417, 94, 186 
1418, 86, 108 
1419, 202, 58 
1420, 194, 58 
1421, 185, 103 
1422, 253, 124 
1423, 122, 183 
1424, 112, 163 
1425, 213, 6 
1426, 56, 167 
1427, 154, 107 
1428, 117, 188 
1429, 251, 27 
1430, 105, 166 
1431, 232, 233 
1432, 145, 62 
1433, 133, 61 
1434, 174, 69 
1435, 140, 208 
1436, 240, 140 
1437, 195, 168 
1438, 104, 16 
1439, 163, 61 
1440, 33, 52 
1441, 71, 159 
1442, 23, 178 
1443, 143, 222 
1444, 76, 101 
1445, 156, 62 
1446, 204, 168 
1447, 204, 15 
1448, 108, 84 
1449, 217, 204 
1450, 79, 37 
1451, 135, 180 
1452, 61, 221 
1453, 52, 212 
1454, 135, 109 
1455, 38, 32 
1456, 128, 162 
1457, 128, 124 
1458, 153, 165 
1459, 211, 208 
1460, 251, 190 
1461, 80, 218 
1462, 164, 131 
1463, 31, 202 
1464, 104, 14 
1465, 242, 141 
1466, 178, 246 
1467, 175, 144 
1468, 65, 105 
1469, 243, 3 
1470, 21, 101 
1471, 30, 139 
1472, 130, 29 
1473, 90, 176 
1474, 215, 191 
1475, 131, 75 
1476, 160, 212 
1477, 115, 250 
1478, 121, 98 
1479, 34, 205 
1480, 171, 138 
1481, 24, 157 
1482, 171, 105 
1483, 62, 133 
1484, 0, 90 
1485, 227, 32 
1486, 232, 109 
1487, 67, 38 
1488, 107, 125 
1489, 34, 224 
1490, 149, 132 
1491, 114, 83 
1492, 145, 130 
1493, 246, 209 
1494, 44, 20 
1495, 61, 53 
1496, 220, 181 
1497, 52, 188 
